# Data structure:

# Category, Name, Profile class, geometric data...

# All measures must be in millimeters

# Possible profile classes are: 

# SCF_C_WL =    Steel Cold Formed C-profile with lips
# SHR_CHS=      Steel Hot Rolled Circular Hollow Section
# SHR_L=        Steel Hot Rolled L-angle with parallel flanges
# SHR_I_PF=     Steel Hot Rolled I/H-section parallel flange
# SHR_I_SF=     Steel Hot Rolled I/H-section sloped flange
# SHR_RS=        Steel Hot Rolled Round Section
# SHR_RCT=      Steel Hot Rolled Rectangular 
# SHR_RHS=      Steel Hot Rolled Rectangle Hollow Section
# SHR_C_PF=     Steel Hot Rolled C-channel Parallel Flange
# SHR_C_SF=     Steel Hot Rolled C-channel Sloped Flange


# Additional profile types must be implemented in ArchProfile.py first

###########################################

# Steel Hot Rolled Round Section

# Category,Name,SHR_RS,Diameter
R,R5,SHR_RS,5
R,R8,SHR_RS,8
R,R10,SHR_RS,10
R,R12,SHR_RS,12
R,R14,SHR_RS,14
R,R15,SHR_RS,151
R,R16,SHR_RS,16
R,R18,SHR_RS,18
R,R19,SHR_RS,19
R,R20,SHR_RS,20
R,R22,SHR_RS,22
R,R24,SHR_RS,24
R,R25,SHR_RS,25
R,R27,SHR_RS,27
CHS,CHS244.5x8,SHR_CHS,244.5,8
CHS,CHS244.5x8.8,SHR_CHS,244.5,8.8
CHS,CHS244.5x10,SHR_CHS,244.5,10
CHS,CHS244.5x12.5,SHR_CHS,244.5,12.5
CHS,CHS244.5x14.2,SHR_CHS,244.5,14.2
CHS,CHS244.5x16,SHR_CHS,244.5,16
CHS,CHS244.5x17.5,SHR_CHS,244.5,17.5
CHS,CHS244.5x20,SHR_CHS,244.5,20
CHS,CHS244.5x22.2,SHR_CHS,244.5,22.2
CHS,CHS244.5x25,SHR_CHS,244.5,25
CHS,CHS244.5x28,SHR_CHS,244.5,28
CHS,CHS244.5x30,SHR_CHS,244.5,30
CHS,CHS244.5x32,SHR_CHS,244.5,32
CHS,CHS267x6.3,SHR_CHS,267,6.3
CHS,CHS273x6.3,SHR_CHS,273,6.3
CHS,CHS273x7.1,SHR_CHS,273,7.1
CHS,CHS273x8,SHR_CHS,273,8
CHS,CHS273x8.8,SHR_CHS,273,8.8
CHS,CHS273x10,SHR_CHS,273,10
CHS,CHS273x12.5,SHR_CHS,273,12.5
CHS,CHS273x14.2,SHR_CHS,273,14.2
CHS,CHS273x16,SHR_CHS,273,16
CHS,CHS273x17.5,SHR_CHS,273,17.5
CHS,CHS273x20,SHR_CHS,273,20
CHS,CHS273x22.2,SHR_CHS,273,22.2
CHS,CHS273x25,SHR_CHS,273,25
CHS,CHS273x28,SHR_CHS,273,28
CHS,CHS273x30,SHR_CHS,273,30
CHS,CHS273x32,SHR_CHS,273,32
CHS,CHS273x36,SHR_CHS,273,36
CHS,CHS298.5x7.1,SHR_CHS,298.5,7.1
CHS,CHS323.9x7.1,SHR_CHS,323.9,7.1
CHS,CHS323.9x8,SHR_CHS,323.9,8
CHS,CHS323.9x8.8,SHR_CHS,323.9,8.8
CHS,CHS323.9x10,SHR_CHS,323.9,10
