# Data structure:

# Category, Name, Profile class, geometric data...

# All measures must be in millimeters

# Possible profile classes are: 

# Generic_RCT=		Generic Rectangle Solid Section
# Generic_L=		Generic L Section
# Generic_T=		Generic T Section
# SteelCF_C=     	Steel Cold Formed C-profile
# SteelCF_C_WL=     Steel Cold Formed C-profile with lips
# SteelCF_L=     	Steel Cold Formed L-profile
# SteelCF_Z=     	Steel Cold Formed Z-profile
# SteelCF_Z_WL=     Steel Cold Formed Z-profile with lips
# SteelHR_CHS=      Steel Hot Rolled Circular Hollow Section
# SteelHR_L=        Steel Hot Rolled L-angle with parallel flanges
# SteelHR_I_PF=     Steel Hot Rolled I/H-section parallel flange
# SteelHR_I_SF=     Steel Hot Rolled I/H-section sloped flange
# SteelHR_RS=       Steel Hot Rolled Round Section
# SteelHR_RCT=      Steel Hot Rolled Rectangular 
# SteelHR_RHS=      Steel Hot Rolled Rectangle Hollow Section
# SteelHR_C_PF=     Steel Hot Rolled C-channel Parallel Flange
# SteelHR_C_SF=     Steel Hot Rolled C-channel Sloped Flange


# Additional profile types must be implemented in ArchProfile.py first

###########################################

# Concrete Rectangle Solid Section

# Category,Name,Generic_RCT,Width,Height
Steel CHS,CHS88.9x3.2,SteelHR_CHS,88.9,3.2
Steel CHS,CHS88.9x3.6,SteelHR_CHS,88.9,3.6
Steel CHS,CHS88.9x4,SteelHR_CHS,88.9,4
Steel CHS,CHS88.9x4.5,SteelHR_CHS,88.9,4.5
Steel CHS,CHS88.9x5,SteelHR_CHS,88.9,5
Steel CHS,CHS88.9x5.6,SteelHR_CHS,88.9,5.6
Steel CHS,CHS88.9x6.3,SteelHR_CHS,88.9,6.3
Steel CHS,CHS88.9x7.1,SteelHR_CHS,88.9,7.1
Steel CHS,CHS88.9x8,SteelHR_CHS,88.9,8
Steel CHS,CHS88.9x8.8,SteelHR_CHS,88.9,8.8
Steel CHS,CHS88.9x10,SteelHR_CHS,88.9,10
Steel CHS,CHS88.9x12.5,SteelHR_CHS,88.9,12.5
Steel CHS,CHS101.6x3.6,SteelHR_CHS,101.6,3.6
Steel CHS,CHS101.6x4,SteelHR_CHS,101.6,4
Steel CHS,CHS101.6x4.5,SteelHR_CHS,101.6,4.5
Steel CHS,CHS101.6x5,SteelHR_CHS,101.6,5
Steel CHS,CHS101.6x5.6,SteelHR_CHS,101.6,5.6
Steel CHS,CHS101.6x6.3,SteelHR_CHS,101.6,6.3
Steel CHS,CHS101.6x7.1,SteelHR_CHS,101.6,7.1
Steel CHS,CHS101.6x8,SteelHR_CHS,101.6,8
Steel CHS,CHS101.6x8.8,SteelHR_CHS,101.6,8.8
Steel CHS,CHS101.6x10,SteelHR_CHS,101.6,10
Steel CHS,CHS101.6x12.5,SteelHR_CHS,101.6,12.5
Steel CHS,CHS101.6x14.2,SteelHR_CHS,101.6,14.2
Steel CHS,CHS108x3.6,SteelHR_CHS,108,3.6
Steel CHS,CHS114.3x3.6,SteelHR_CHS,114.3,3.6
Steel CHS,CHS114.3x4,SteelHR_CHS,114.3,4
Steel CHS,CHS114.3x4.5,SteelHR_CHS,114.3,4.5
Steel CHS,CHS114.3x5,SteelHR_CHS,114.3,5
Steel CHS,CHS114.3x5.6,SteelHR_CHS,114.3,5.6
Steel CHS,CHS114.3x6.3,SteelHR_CHS,114.3,6.3
Steel CHS,CHS114.3x7.1,SteelHR_CHS,114.3,7.1
Steel CHS,CHS114.3x8,SteelHR_CHS,114.3,8
Steel CHS,CHS114.3x8.8,SteelHR_CHS,114.3,8.8
Steel CHS,CHS114.3x10,SteelHR_CHS,114.3,10
Steel CHS,CHS114.3x12.5,SteelHR_CHS,114.3,12.5
Steel CHS,CHS114.3x14.2,SteelHR_CHS,114.3,14.2
Steel CHS,CHS114.3x16,SteelHR_CHS,114.3,16
Steel CHS,CHS121x4,SteelHR_CHS,121,4
Steel CHS,CHS121x5,SteelHR_CHS,121,5
Steel CHS,CHS121x5.6,SteelHR_CHS,121,5.6
Steel CHS,CHS121x6.3,SteelHR_CHS,121,6.3
Steel CHS,CHS121x7.1,SteelHR_CHS,121,7.1
Steel CHS,CHS121x8,SteelHR_CHS,121,8
Steel CHS,CHS121x8.8,SteelHR_CHS,121,8.8
Steel CHS,CHS121x10,SteelHR_CHS,121,10
Steel CHS,CHS121x12.5,SteelHR_CHS,121,12.5
Steel CHS,CHS121x14.2,SteelHR_CHS,121,14.2
Steel CHS,CHS121x16,SteelHR_CHS,121,16
Steel CHS,CHS127x4.0,SteelHR_CHS,127,4
Steel CHS,CHS133x4,SteelHR_CHS,133,4
Steel CHS,CHS133x4.5,SteelHR_CHS,133,4.5
Steel CHS,CHS133x5,SteelHR_CHS,133,5
Steel CHS,CHS133x5.6,SteelHR_CHS,133,5.6
Steel CHS,CHS133x6.3,SteelHR_CHS,133,6.3
Steel CHS,CHS133x7.1,SteelHR_CHS,133,7.1
Steel CHS,CHS133x8,SteelHR_CHS,133,8
Steel CHS,CHS133x8.8,SteelHR_CHS,133,8.8
Steel CHS,CHS133x10,SteelHR_CHS,133,10
Steel CHS,CHS133x12.5,SteelHR_CHS,133,12.5
Steel CHS,CHS133x14.2,SteelHR_CHS,133,14.2
Steel CHS,CHS133x16,SteelHR_CHS,133,16
Steel CHS,CHS133x17.5,SteelHR_CHS,133,17.5
Steel CHS,CHS139.7x4,SteelHR_CHS,139.7,4
Steel CHS,CHS139.7x4.5,SteelHR_CHS,139.7,4.5
Steel CHS,CHS139.7x5,SteelHR_CHS,139.7,5
Steel CHS,CHS139.7x5.6,SteelHR_CHS,139.7,5.6
Steel CHS,CHS139.7x6.3,SteelHR_CHS,139.7,6.3
Steel CHS,CHS139.7x7.1,SteelHR_CHS,139.7,7.1
Steel CHS,CHS139.7x8,SteelHR_CHS,139.7,8
Steel CHS,CHS139.7x8.8,SteelHR_CHS,139.7,8.8
Steel CHS,CHS139.7x10,SteelHR_CHS,139.7,10
Steel CHS,CHS139.7x12.5,SteelHR_CHS,139.7,12.5
Steel CHS,CHS139.7x14.2,SteelHR_CHS,139.7,14.2
Steel CHS,CHS139.7x16,SteelHR_CHS,139.7,16
Steel CHS,CHS139.7x17.5,SteelHR_CHS,139.7,17.5
Steel CHS,CHS152.4x4.5,SteelHR_CHS,152.4,4.5
Steel CHS,CHS159x4.5,SteelHR_CHS,159,4.5
Steel CHS,CHS159x5,SteelHR_CHS,159,5
Steel CHS,CHS159x5.6,SteelHR_CHS,159,5.6
Steel CHS,CHS159x6.3,SteelHR_CHS,159,6.3
Steel CHS,CHS159x7.1,SteelHR_CHS,159,7.1
Steel CHS,CHS159x8,SteelHR_CHS,159,8
Steel CHS,CHS159x8.8,SteelHR_CHS,159,8.8
Steel CHS,CHS159x10,SteelHR_CHS,159,10
Steel CHS,CHS159x12.5,SteelHR_CHS,159,12.5
Steel CHS,CHS159x14.2,SteelHR_CHS,159,14.2
Steel CHS,CHS159x16,SteelHR_CHS,159,16
Steel CHS,CHS159x17.5,SteelHR_CHS,159,17.5
Steel CHS,CHS159x20,SteelHR_CHS,159,20
Steel CHS,CHS159x22.2,SteelHR_CHS,159,22.2
Steel CHS,CHS165.1x4.5,SteelHR_CHS,165.1,4.5
Steel CHS,CHS168.3x4.5,SteelHR_CHS,168.3,4.5
Steel CHS,CHS168.3x5,SteelHR_CHS,168.3,5
Steel CHS,CHS168.3x5.6,SteelHR_CHS,168.3,5.6
Steel CHS,CHS168.3x6.3,SteelHR_CHS,168.3,6.3
Steel CHS,CHS168.3x7.1,SteelHR_CHS,168.3,7.1
Steel CHS,CHS168.3x8,SteelHR_CHS,168.3,8
Steel CHS,CHS168.3x8.8,SteelHR_CHS,168.3,8.8
Steel CHS,CHS168.3x10,SteelHR_CHS,168.3,10
Steel CHS,CHS168.3x12.5,SteelHR_CHS,168.3,12.5
Steel CHS,CHS168.3x14.2,SteelHR_CHS,168.3,14.2
Steel CHS,CHS168.3x16,SteelHR_CHS,168.3,16
Steel CHS,CHS168.3x17.5,SteelHR_CHS,168.3,17.5
Steel CHS,CHS168.3x20,SteelHR_CHS,168.3,20
Steel CHS,CHS168.3x22.2,SteelHR_CHS,168.3,22.2
Steel CHS,CHS177.8x5.0,SteelHR_CHS,177.8,5
Steel CHS,CHS193.7x5.4,SteelHR_CHS,193.7,5.4
Steel CHS,CHS193.7x5.6,SteelHR_CHS,193.7,5.6
Steel CHS,CHS193.7x6.3,SteelHR_CHS,193.7,6.3
Steel CHS,CHS193.7x7.1,SteelHR_CHS,193.7,7.1
Steel CHS,CHS193.7x8,SteelHR_CHS,193.7,8
Steel CHS,CHS193.7x8.8,SteelHR_CHS,193.7,8.8
Steel CHS,CHS193.7x10,SteelHR_CHS,193.7,10
Steel CHS,CHS193.7x12.5,SteelHR_CHS,193.7,12.5
Steel CHS,CHS193.7x14.2,SteelHR_CHS,193.7,14.2
Steel CHS,CHS193.7x16,SteelHR_CHS,193.7,16
Steel CHS,CHS193.7x17.5,SteelHR_CHS,193.7,17.5
Steel CHS,CHS193.7x20,SteelHR_CHS,193.7,20
Steel CHS,CHS193.7x22.2,SteelHR_CHS,193.7,22.2
Steel CHS,CHS193.7x25,SteelHR_CHS,193.7,25
Steel CHS,CHS219.1x5.9,SteelHR_CHS,219.1,5.9
Steel CHS,CHS219.1x6.3,SteelHR_CHS,219.1,6.3
Steel CHS,CHS219.1x7.1,SteelHR_CHS,219.1,7.1
Steel CHS,CHS219.1x8,SteelHR_CHS,219.1,8
Steel CHS,CHS219.1x8.8,SteelHR_CHS,219.1,8.8
Steel CHS,CHS219.1x10,SteelHR_CHS,219.1,10
Steel CHS,CHS219.1x12.5,SteelHR_CHS,219.1,12.5
Steel CHS,CHS219.1x14.2,SteelHR_CHS,219.1,14.2
Steel CHS,CHS219.1x16,SteelHR_CHS,219.1,16
Steel CHS,CHS219.1x17.5,SteelHR_CHS,219.1,17.5
Steel CHS,CHS219.1x20,SteelHR_CHS,219.1,20
Steel CHS,CHS219.1x22.2,SteelHR_CHS,219.1,22.2
Steel CHS,CHS219.1x25,SteelHR_CHS,219.1,25
Steel CHS,CHS219.1x28,SteelHR_CHS,219.1,28
Steel CHS,CHS219.1x30,SteelHR_CHS,219.1,30
Steel CHS,CHS244.5x6.3,SteelHR_CHS,244.5,6.3
Steel CHS,CHS244.5x7.1,SteelHR_CHS,244.5,7.1
Steel CHS,CHS244.5x8,SteelHR_CHS,244.5,8
Steel CHS,CHS244.5x8.8,SteelHR_CHS,244.5,8.8
Steel CHS,CHS244.5x10,SteelHR_CHS,244.5,10
Steel CHS,CHS244.5x12.5,SteelHR_CHS,244.5,12.5
Steel CHS,CHS244.5x14.2,SteelHR_CHS,244.5,14.2
Steel CHS,CHS244.5x16,SteelHR_CHS,244.5,16
Steel CHS,CHS244.5x17.5,SteelHR_CHS,244.5,17.5
Steel CHS,CHS244.5x20,SteelHR_CHS,244.5,20
Steel CHS,CHS244.5x22.2,SteelHR_CHS,244.5,22.2
Steel CHS,CHS244.5x25,SteelHR_CHS,244.5,25
Steel CHS,CHS244.5x28,SteelHR_CHS,244.5,28
Steel CHS,CHS244.5x30,SteelHR_CHS,244.5,30
Steel CHS,CHS244.5x32,SteelHR_CHS,244.5,32
Steel CHS,CHS267x6.3,SteelHR_CHS,267,6.3
Steel CHS,CHS273x6.3,SteelHR_CHS,273,6.3
Steel CHS,CHS273x7.1,SteelHR_CHS,273,7.1
Steel CHS,CHS273x8,SteelHR_CHS,273,8
Steel CHS,CHS273x8.8,SteelHR_CHS,273,8.8
Steel CHS,CHS273x10,SteelHR_CHS,273,10
Steel CHS,CHS273x12.5,SteelHR_CHS,273,12.5
Steel CHS,CHS273x14.2,SteelHR_CHS,273,14.2
Steel CHS,CHS273x16,SteelHR_CHS,273,16
Steel CHS,CHS273x17.5,SteelHR_CHS,273,17.5
Steel CHS,CHS273x20,SteelHR_CHS,273,20
Steel CHS,CHS273x22.2,SteelHR_CHS,273,22.2
Steel CHS,CHS273x25,SteelHR_CHS,273,25
Steel CHS,CHS273x28,SteelHR_CHS,273,28
Steel CHS,CHS273x30,SteelHR_CHS,273,30
Steel CHS,CHS273x32,SteelHR_CHS,273,32
Steel CHS,CHS273x36,SteelHR_CHS,273,36
Steel CHS,CHS298.5x7.1,SteelHR_CHS,298.5,7.1
Steel CHS,CHS323.9x7.1,SteelHR_CHS,323.9,7.1
Steel CHS,CHS323.9x8,SteelHR_CHS,323.9,8
Steel CHS,CHS323.9x8.8,SteelHR_CHS,323.9,8.8
Steel CHS,CHS323.9x10,SteelHR_CHS,323.9,10
Steel CHS,CHS323.9x12.5,SteelHR_CHS,323.9,12.5
Steel CHS,CHS323.9x14.2,SteelHR_CHS,323.9,14.2
Steel CHS,CHS323.9x16,SteelHR_CHS,323.9,16
Steel CHS,CHS323.9x17.5,SteelHR_CHS,323.9,17.5
Steel CHS,CHS323.9x20,SteelHR_CHS,323.9,20
Steel CHS,CHS323.9x22.2,SteelHR_CHS,323.9,22.2
Steel CHS,CHS323.9x25,SteelHR_CHS,323.9,25
Steel CHS,CHS323.9x28,SteelHR_CHS,323.9,28
Steel CHS,CHS323.9x29,SteelHR_CHS,323.9,29
Steel CHS,CHS323.9x30,SteelHR_CHS,323.9,30
Steel CHS,CHS323.9x32,SteelHR_CHS,323.9,32
Steel CHS,CHS323.9x36,SteelHR_CHS,323.9,36
Steel CHS,CHS323.9x40,SteelHR_CHS,323.9,40
Steel CHS,CHS355.6x8,SteelHR_CHS,355.6,8
Steel CHS,CHS355.6x8.8,SteelHR_CHS,355.6,8.8
Steel CHS,CHS355.6x10,SteelHR_CHS,355.6,10
Steel CHS,CHS355.6x12.5,SteelHR_CHS,355.6,12.5
Steel CHS,CHS355.6x14.2,SteelHR_CHS,355.6,14.2
Steel CHS,CHS355.6x16,SteelHR_CHS,355.6,16
Steel CHS,CHS355.6x17.5,SteelHR_CHS,355.6,17.5
Steel CHS,CHS355.6x20,SteelHR_CHS,355.6,20
Steel CHS,CHS355.6x22.2,SteelHR_CHS,355.6,22.2
Steel CHS,CHS355.6x25,SteelHR_CHS,355.6,25
Steel CHS,CHS355.6x28,SteelHR_CHS,355.6,28
Steel CHS,CHS355.6x30,SteelHR_CHS,355.6,30
